IndicatorCode,IndicatorName,SpatialDim,TimeDim,Dim1,NumericValue,Value
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",USA,2004,SEX_BTSX,171.0,171
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",MLI,2004,SEX_FMLE,235.0,235
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",MCO,2004,SEX_BTSX,131.0,131
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",MWI,2004,SEX_FMLE,126.0,126
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",PER,2004,SEX_BTSX,130.0,130
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",LCA,2004,SEX_FMLE,286.0,286
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",ATG,2004,SEX_FMLE,549.0,549
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",ITA,2004,SEX_FMLE,277.0,277
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",BEL,2004,SEX_FMLE,388.0,388
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",COK,2004,SEX_FMLE,126.0,126
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",ITA,2004,SEX_BTSX,144.0,144
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",PRY,2004,SEX_FMLE,252.0,252
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",MNG,2004,SEX_FMLE,93.0,93
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",GRD,2004,SEX_MLE,,3
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",EGY,2004,SEX_FMLE,251.0,251
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",BFA,2004,SEX_FMLE,450.0,450
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",GEO,2004,SEX_BTSX,134.0,134
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",NOR,2004,SEX_MLE,,1
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",ISR,2004,SEX_MLE,,1
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",NIC,2004,SEX_FMLE,221.0,221
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",BLR,2004,SEX_MLE,,3
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",GRC,2004,SEX_BTSX,142.0,142
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",NRU,2004,SEX_FMLE,309.0,309
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",SOM,2004,SEX_BTSX,135.0,135
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",DNK,2004,SEX_FMLE,393.0,393
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",AZE,2004,SEX_FMLE,284.0,284
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",SWE,2004,SEX_MLE,,2
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",LSO,2004,SEX_BTSX,45.0,45
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",TCD,2004,SEX_FMLE,210.0,210
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",PAK,2004,SEX_BTSX,138.0,138
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",TLS,2004,SEX_BTSX,111.0,111
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",BEL,2004,SEX_BTSX,200.0,200
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",THA,2004,SEX_FMLE,169.0,169
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",DZA,2004,SEX_FMLE,212.0,212
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",NPL,2004,SEX_FMLE,259.0,259
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",CZE,2004,SEX_MLE,,2
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",KEN,2004,SEX_FMLE,178.0,178
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",SVN,2004,SEX_FMLE,301.0,301
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",ISR,2004,SEX_FMLE,334.0,334
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",MOZ,2004,SEX_FMLE,31.0,31
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",LCA,2004,SEX_MLE,,4
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",QAT,2004,SEX_BTSX,26.0,26
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",JPN,2004,SEX_BTSX,90.0,90
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",SLB,2004,SEX_FMLE,142.0,142
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",IND,2004,SEX_BTSX,80.0,80
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",MDV,2004,SEX_FMLE,181.0,181
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",ARM,2004,SEX_BTSX,310.0,310
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",BIH,2004,SEX_MLE,,3
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",CRI,2004,SEX_MLE,,2
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",PLW,2004,SEX_MLE,,7
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",NER,2004,SEX_BTSX,173.0,173
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",IRN,2004,SEX_BTSX,85.0,85
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",QAT,2004,SEX_FMLE,101.0,101
